-0.190484, -1.03584
-0.324149, -3.03136
-0.494974, -3.55709
-0.494974, -3.55709
-0.494974, -3.55709
-0.494974, -3.55709
-0.942189, -3.882
-0.942189, -3.882
-0.942189, -3.882
-0.942189, -3.882
-3.49049, -3.74834
-3.49049, -3.74834
-3.49049, -3.74834
-3.9377, -3.42342
-3.9377, -3.42342
-3.9377, -3.42342
-3.9377, -3.42342
-4.10853, -2.8977
-4.10853, -2.8977
-3.97486, -0.902172
-3.80404, -0.376452
-3.80404, -0.376452
-3.80404, -0.376452
-3.80404, -0.376452
-3.35682, -0.0515316
-3.35682, -0.0515316
-3.35682, -0.0515316
-3.35682, -0.0515316
-0.808524, -0.185196
-0.808524, -0.185196
-0.808524, -0.185196
-0.361309, -0.510116
-0.361309, -0.510116
-0.361309, -0.510116
-0.361309, -0.510116
-0.190484, -1.03584
